Iter,NMECP(E),Grad
1,0.0,1e+30
2,428.89170439064395,428.89170439064395
3,649.6718966452449,220.780192254601
1,0.00,1e+30
2,23.1150422168202,23.1150422168202
1,0.00,1e+30
2,430.6494835904789430.6494835904789,
3,652.334543764369,221.68506017389007
1,0.0,1e+30
2,395.0471749752491,395.0471749752491
3,598.4049171600084,203.35774218475927
1,0.0,1e+30
2,428.2243769038128,428.2243769038128
3,648.6610429512892,220.43666604747642
1,0.0,1e+30
2,430.6494835904789,430.6494835904789
3,652.334543764369,221.68506017389007
