THE RATE CONSTANTS ARE LISTED BELOW

Temperature,"k(T),cm^3/mole.s","k(T),cm^3/molecule.s",Eckart coefficients
700.0,41.507969671453374,6.8927216325894e-23,4.913260971844476
800.0,1198.9603380409224,1.9909670176700803e-21,3.0780199074241352
1000.0,167814.8206993538,2.786695793745496e-19,1.9398946050497894
1200.0,5118524.381207371,8.499708371317454e-18,1.5556851711248143
1400.0,62335365.228905894,1.035127287095747e-16,1.3730404394537066
1600.0,420649783.26480585,6.985217257801492e-16,1.2698553382158748
1800.0,1900463135.0960517,3.1558670459914505e-15,1.2051344959902834
2000.0,6457015301.172338,1.072237678706798e-14,1.1615750300583727
2200.0,17787334397.921906,2.953725406496497e-14,1.1307257647517333
2400.0,41799033825.14345,6.94105510214936e-14,1.108016548235085
2600.0,86824413282.35347,1.4417870023638903e-13,1.0907827437158366
2800.0,163557483589.90018,2.7159993953819357e-13,1.0773778511459173
3000.0,284761728753.30646,4.728690281522857e-13,1.0667363444982756
3400.0,719262494342.6737,1.1943913888121448e-12,1.0510986707280612
3800.0,1515785336641.1711,2.517079602526023e-12,1.0403451305876765
4200.0,2802293802930.524,4.6534271054973824e-12,1.0326293126897936
4600.0,4697509704065.371,7.800580710835886e-12,1.0269045899930973
5000.0,7303845525982.88,1.2128604327437529e-11,1.0225403613940194
